temperatura_c,umidade_percent,pressao_hpa,distancia_cm,risco_tempestade
45.64,82.87,995.50,400.09,0
26.25,86.38,998.28,399.99,0
45.12,84.26,987.23,400.09,0
48.99,75.62,995.62,399.90,0
79.66,70.06,981.19,400.04,1
22.76,61.52,991.07,399.99,0
73.00,88.99,1002.19,400.08,1
55.74,63.57,1005.50,399.95,0
56.09,87.15,986.61,399.94,0
43.62,60.78,1007.37,399.98,0
64.70,88.39,1017.95,400.08,0
37.20,61.19,980.36,399.94,0
22.13,61.38,1006.29,399.99,0
68.68,78.31,987.28,400.01,0
29.46,80.87,1009.15,399.95,0
36.26,89.92,1008.46,400.00,0
67.99,68.79,1002.33,400.04,0
57.35,73.76,990.48,399.99,0
67.87,64.76,1006.78,400.03,0
64.16,82.25,994.91,400.07,0
64.96,87.67,992.94,399.93,0
72.13,77.57,1019.86,399.96,0
51.12,73.39,996.34,400.02,0
60.69,87.09,991.58,400.10,0
31.65,88.47,1013.96,400.05,0
63.25,77.80,984.73,399.99,0
60.09,89.46,1014.94,399.93,0
37.40,84.46,980.59,399.93,0
69.53,65.06,1016.67,400.00,0
27.52,72.59,982.00,400.00,0
56.66,83.91,998.07,400.06,0
58.29,85.75,1012.58,400.01,0
27.66,66.30,990.33,399.95,0
59.44,81.10,1010.80,399.90,0
55.78,66.72,1000.39,400.00,0
57.32,78.51,1007.13,400.02,0
25.94,67.09,999.52,400.08,0
52.92,86.30,985.14,399.95,0
50.59,61.82,1006.49,400.09,0
62.61,77.58,1012.80,400.08,0
51.74,86.16,1017.07,399.99,0
46.07,64.36,994.72,399.95,0
33.09,77.15,996.88,399.97,0
75.35,69.23,1012.89,400.04,0
61.50,82.05,1013.81,399.99,0
77.99,83.32,1004.40,400.02,1
50.83,64.10,1000.11,400.00,0
79.66,77.53,986.54,400.02,1
27.45,65.42,991.99,399.91,0
32.24,81.59,985.31,399.97,0
29.49,62.37,998.31,400.01,0
52.76,77.88,989.33,399.93,0
49.60,67.40,991.63,399.94,0
54.48,87.13,1003.76,399.98,0
36.99,65.24,981.62,400.00,0
37.66,71.20,1019.65,399.95,0
43.19,77.10,1008.80,399.95,0
67.60,79.79,990.72,400.04,0
32.27,66.91,992.67,399.99,0
54.08,88.75,994.67,400.10,0
58.64,85.46,991.62,400.00,0
22.15,86.09,1013.78,399.90,0
62.52,80.35,988.35,399.98,0
56.77,80.09,999.26,399.93,0
